Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Darqueze Dennard,CB,Michigan State,1,24,https://www.sports-reference.com/cfb/players/darqueze-dennard-1.html,71,199,4.52,15.0,,,,,Big Ten,43,4,104,61,165,10.0,1.0,10,125,1,13,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Ahmad Dixon,S,Baylor,7,248,https://www.sports-reference.com/cfb/players/ahmad-dixon-1.html,72,212,4.64,14.0,32.0,111.0,7.55,4.5,Big 12,49,4,187,101,288,13.0,1.0,4,72,1,9,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Aaron Donald,DT,Pittsburgh,1,13,https://www.sports-reference.com/cfb/players/aaron-donald-1.html,73,285,4.68,35.0,32.0,116.0,7.11,4.39,Big East,39,3,115,66,181,66.0,29.5,0,0,0,10,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Jonathan Dowling,S,Western Kentucky,7,247,https://www.sports-reference.com/cfb/players/jonathan-dowling-1.html,75,190,4.52,8.0,33.5,118.0,7.04,4.24,Sun Belt,23,2,87,40,127,3.5,0.0,9,132,1,6,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Kony Ealy,DE,Missouri,2,60,https://www.sports-reference.com/cfb/players/kony-ealy-1.html,76,273,4.92,22.0,31.0,114.0,6.83,4.45,Big 12,27,2,56,40,96,28.0,13.5,1,49,1,13,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Dominique Easley,DT,Florida,1,29,https://www.sports-reference.com/cfb/players/dominique-easley-1.html,74,288,4.93,26.0,,,,,SEC,20,3,38,34,72,18.0,5.5,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Eric Ebron,TE,North Carolina,1,10,https://www.sports-reference.com/cfb/players/eric-ebron-1.html,76,250,4.6,24.0,32.0,120.0,,,ACC,34,3,,,,,,,,,,,,,,,,,,,,,112,1805,16.1,8,2,7,3.5,0,114,1812,15.9,8,,,,,,,,,,,,,,,,,,2014
Kasim Edebali,OLB,Boston Col.,0,0,https://www.sports-reference.com/cfb/players/kasim-edebali-1.html,74,253,4.79,19.0,34.5,115.0,7.2,4.35,ACC,38,3,89,78,167,24.5,10.0,0,0,0,14,2,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Bruce Ellington,WR,South Carolina,4,106,https://www.sports-reference.com/cfb/players/bruce-ellington-1.html,69,197,4.45,15.0,39.5,120.0,6.69,3.95,SEC,38,3,,,,,,,,,,,,,,,,,,,,,106,1586,15.0,16,25,148,5.9,1,131,1734,13.2,17,,,,,,,,,,,,,,,,,,2014
Justin Ellis,DT,Louisiana Tech,4,107,https://www.sports-reference.com/cfb/players/justin-ellis-1.html,73,334,5.27,25.0,28.0,92.0,7.81,4.75,WAC,29,3,38,64,102,9.5,2.5,0,0,0,3,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
